Направление воспитательной работы$Название $Дата проведения$Место проведения$Предполагаемый охват участников$Ответственное лицо, ФИО$Ответственное лицо. Должность
-$День знаний (торжественная линейка и собрания по институтам)$2021-09-01$Площадь Котельникова, учебные корпуса$3000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Репетиционные занятия творческих коллективов $в течение года по утвержденному расписанию$Репетиционные залы$350$Чуняева О.А.$руководитель культурно-творческого центра
культурно-просветительское$Организация посещения студентами учреждений культуры$в течение года$Театры города, Красноярская краевая филармония$1000$Чуняева О.А.$руководитель культурно-творческого центра
здоровьесберегающее$Индивидуальная и групповая психолого-консультативная, экспертная работа$в течение года по запросу обучающихся и сотрудников$учебные корпуса университета$3000$Ливак Н.С.$директор социально-психологического центра «Инсайт»
гражданское$Работа по исполнению Комплексного плана мероприятий по противодействию идеологии экстремизма и терроризма$В течение года по утвержденному плану$учебные корпуса и общежития университета$3000$Лысенко А.М.$специалист управления молодежной политики
гражданское$Мероприятия, приуроченные к Дню солидарности в борьбе с терроризмом (3 сентября)$2021-09-03$учебные корпуса университета$1500$Лысенко А.М. $специалист управления молодежной политики
-$Адаптационный комплекс мероприятий для первокурсников$сентябрь-октябрь$"учебные корпуса, Гранд-Холл ""Сибирь"""$2000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Наборы в творческие коллективы СДК$сентябрь-октябрь$культурно-творческий центр$500$Чуняева О.А.$руководитель культурно-творческого центра 
здоровьесбере-гающее $Первенство СибГУ по спортивному ориентированию$сентябрь$лыжная база ул. Ленинградская, 7а $100$Пистер Е.Д.$начальник спортивного клуба
экологическое$Участие во Всероссийской акции «Экодиктант»$сентябрь $учебные корпуса университета$300$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
культурно-просветительское$½ 16 сезона КВН$сентябрь $культурно-творческий центр$400$Плескач Д.И. $руководитель коллектива культурно-творческого центра
гражданское$Региональный этап Российской национальной премии «Студент года»$сентябрь$РСЦ «Гагарин»$30$Кампова И.Ю.$начальник отдела развития студенческого потенциала
культурно-просветительское$Медиашкола$сентябрь$ул. Ленина, 71$50$Кузнецов И.А. $ведущий специалист отдела развития студенческого потенциала 
научно-образовательное$Интернет-олимпиада по русскому языку, социальной работе, правоведению$сентябрь$проспект имени газеты «Красноярский рабочий», д.31$300$Храпунова В.В.$начальник отдела научно-исследовательской работы студентов
культурно-просветительское$Финал 16 сезона КВН$октябрь$культурно-творческий центр$400$Плескач Д.И.$Руководитель коллектива Культурно-творческого центра
здоровьесберегающее$Социально-психологическое тестирование$октябрь$специализированный сайт$1500$Ливак Н.С.$Социально-психологический центр «Инсайт»
культурно-просветительское$Фестиваль открытой студенческой Лиги КВН «Пуск» $октябрь $культурно-творческий центр$400$Плескач Д.И.$Руководитель коллектива Культурно-творческого центра 
здоровьесберегающее $Первенство СибГУ по пулевой стрельбе$октябрь$УСК ул.Ленина, 80 $200$Пистер Е.Д.$начальник спортивного клуба
здоровьесберегающее $Первенство СибГУ по дартсу $октябрь$УСК ул.Ленина, 80$200$Пистер Е.Д.$начальник спортивного клуба
патриотическое$Серия торжественных мероприятий к празднованию юбилея СибГУ им. М.Ф. Решетнева$октябрь$Большой концертный зал, корпуса университета$8000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Кубок первокурсников$2021-10-29$"Гранд-Холл ""Сибирь"""$2500$Куликова А.М.$начальник управления молодежной политики
научно-образовательное$Экологический квест «Природопользователь и окружающая среда»$25.10.2021 – 13.11.2021$пр. Мира 82$50$Колесников П.Г.$Директор ИЛТ
здоровьесберегающее $Чемпионат студенческой волейбольной лиги России по СФОи ДФО$ноябрь$УСК ул.Ленина, 80 $96$Пистер Е.Д.$начальник спортивного клуба
-$Конкурс внутренних грантов для обучающихся$ноябрь$пр. Мира, 82$150$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
научно-образовательное$Всероссийская акция «Географический диктант»$ноябрь$специализированный сайт$300$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
-$Всероссийская акции «Стоп ВИЧ/СПИД»$ноябрь$учебные корпуса университета$300$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
научно-образовательное$Ежегодная олимпиада по дисциплине «Теоретическая механика» на иностранном языке (для старших курсов)$ноябрь$проспект имени газеты «Красноярский рабочий», д.31$50$Фалькова Е.В.$доцент кафедры технической механики
культурно-просветительское$Торжественное мероприятие, посвященное юбилею студенческого ансамбля танца «Адастра» (15 лет со дня создания)$ноябрь $СДК «Аэрокосмический»$400$Чуняева О.А.$руководитель культурно-творческого центра 
научно-образовательное$Олимпиада по дисциплине «Аналитическая механика» на иностранном языке$декабрь$проспект имени газеты «Красноярский рабочий», д.31$25$Корнев В.М.$доцент кафедры технической механики
научно-образовательное$Ежегодная региональная олимпиада по дисциплине «Теоретическая механика»$декабрь$проспект имени газеты «Красноярский рабочий», д.31$50$Назарова Л.П.$доцент кафедры технической механики
научно-образовательное$Ежегодная региональная олимпиада по дисциплине «Сопротивление материалов»$декабрь$проспект имени газеты «Красноярский рабочий», д.31$50$Сабиров Р.А.$доцент кафедры технической механики
здоровьесберегающее $Физкультурно-спортивный комплекс «Готов к труду и обороне»$декабрь$УСК ул.Ленина, 80 $300$Пистер Е.Д.$начальник спортивного клуба
гражданское$Всероссийская акция «Мы - граждане России!» (день единых действий, посвященный Дню Конституции)$первая декада декабря$учебные корпуса университета$400$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
культурно-просветительское$Вузовский фестиваль студенческого творчества «Вектор успеха 2020» $декабрь$Культурно-творческий центр$500$Чуняева О.А.$руководитель культурно-творческого центра 
культурно-просветительское$«Новогодний ректорский бал Опорного университета»$декабрь$культурно-творческий центр$400$Чуняева О.А.$руководитель культурно-творческого центра 
научно-образовательное$Региональная студенческая олимпиада по общей и неорганической химии среди студентов химических специальностей$декабрь$пр. Мира, 82$50$Фабинский П.В.$зав. каф. неорганической химии
культурно-просветительское$Региональный этап Всероссийского фестиваля «Российская студенческая весна-2021»$март-апрель$"Культурное пространство ""Каменка"""$300$Чуняева О.А.$руководитель Культурно-творческого центра
-$Конкурс внутренних грантов для обучающихся$март$пр. Мира, 82$150$Кампова И.Ю.$Начальник отдела развития студенческого потенциала 
научно-образовательное$Краевая олимпиада по органической химии для студентов ВУЗов нехимических специальностей 2021$апрель$пр. Мира, 82$50$Субоч Г.А.$зав. каф. органической химии и технологии органических веществ
научно-образовательное$Олимпиада по математике для студентов СибГУ на русском и английском языках$апрель$проспект имени газеты «Красноярский рабочий», д.31$100$Вишневская С.Р.$зав. каф. высшей математики
научно-образовательное$Региональная командная олимпиада по спортивному программированию 2021$апрель$проспект имени газеты «Красноярский рабочий», д.31$50$Буряченко В.В.$доцент кафедры информатики и вычислительной техники
культурно-просветительское$Финал 15 сезона КВН$2021-04-22$пр. Мира, 82$400$Плескач Д.И.$руководитель коллектива культурно-творческого центра 
научно-образовательное$Региональная олимпиада «Аналитическая химия и физико-химические методы анализа»$апрель$пр. Мира, 82$50$Круглякова Л.А.$зав. каф. физической и аналитической химии
культурно-просветительское$Всероссийский фестиваль «Российская студенческая весна-2021»$15-21 мая$г. Нижний Новгород$35$Чуняева О.А.$руководитель Культурно-творческого центра 
культурно-просветительское$Фестиваль 16 сезона КВН$май $пр. Мира, 82$400$Плескач Д.И.$руководитель коллектива культурно-творческого центра 
здоровьесберегающее$Всероссийская акции «Стоп ВИЧ/СПИД»$май$учебные корпуса университета$150$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
научно-образовательное$Региональная студенческая олимпиада по общей химии среди студентов нехимических специальностей$май$пр. Мира, 82$50$Фабинский П.В.$зав. каф. неорганической химии
научно-образовательное$Региональная олимпиада «Промышленная экология»$май$пр. Мира, 82$50$Воронин В.М.$зав. каф. промышленной экологии, процессов и аппаратов химических производств
научно-образовательное$«Региональная олимпиада «Процессы и аппараты химической, нефтехимической и пищевой технологии»$май$пр. Мира, 82$50$Воронин В.М.$зав. каф. промышленной экологии, процессов и аппаратов химических производств
научно-образовательное$Краевая олимпиада по органической химии для студентов ВУЗов химических специальностей -2021$май$пр. Мира, 82$50$Субоч Г.А.$зав. каф. органической химии и технологии органических веществ
гражданское$Всероссийская акция «Мы - граждане России!» (день единых действий, посвященный Дню России) $2022-06-12$пр. Мира, 82$150$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
Все направления$Летняя форумная кампания$июль-август$форумные площадки РФ$150$Кампова И.Ю. $начальник отдела развития студенческого потенциала 
экологическое$День открытых дверей, посвященный международному Дню леса$март$пр. Мира 82$100$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе
профессионально-трудовое$День открытых дверей, посвященный международному Дню ландшафтного архитектора$май$пр. Мира 82$100$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе 
научно-образовательное$Quiz «Лес как искусство» $март$пр. Мира 82$50$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе
научно-образовательное$КОСМО-квиз$март$пр. Мира 82 $50$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе
профессионально-трудовое$Ярмарка вакансий $апрель$пр. Мира 82 $150$Колесников П.Г.$директор Института лесных технологий 
-$Конкурс лучшая группа ИЛТ $сентябрь$пр. Мира 82$150$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе 
научно-образовательное$День работников леса$сентябрь$пр. Мира 82$150$Колесников П.Г.$директор Института лесных технологий 
духовно-нравственное$Акция скажи «Спасибо», приуроченная ко дню учителя $сентябрь$пр. Мира 82$100$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе
патриотическое$Гражданско-патриотический КВИЗ $октябрь$пр. Мира 82 $50$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе 
экологическое$Проведение экологических акций, экологических семинаров, экоконкурсов и акций$в течение года$Учебные корпуса и базы практик$400$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе 
научно-образовательное$"""II Внутривузовская экологическая олимпиада «Ойкумена»"""$10.11 – 12.11.2021$пр. Мира, 82$50$Колесников П.Г.$директор Института лесных технологий
научно-образовательное$IV Региональная олимпиада «Техносферная безопасность»$22.11.2021-24.11.2021$пр. Мира, 82$50$Колесников П.Г.$директор Института лесных технологий
научно-образовательное$Научно – практический семинар “Леса бореальной зоны и их ресурсный потенциал”$2021-11-30$пр. Мира, 82$50$$директор Института лесных технологий
экологическое$Региональный кубок «Экологическая безопасность в умном городе»$март-июнь$пр. Мира 82$150$Колесников П.Г.$директор Института лесных технологий 
-$Слет школьных лесничеств $в течение года$Красноярский край$400$Конюхова В.В. $заместитель директора Института лесных технологий по воспитательной, профориентационной и научной работе
научно-образовательное$"Кейсовый чемпионат ""Химия на далёких планетах "" "$февраль$Zoom$150$Харьянова Е.В.$заместитель директора Института химических технологий по воспитательной работе
культурно-просветительское$"Игра ""Где логика?"" "$март$Zoom$100$Харьянова Е.В.$заместитель директора Института химических технологий по воспитательной работе
научно-образовательное$"День открытых дверей ""Волшебный мир химии"""$2021-04-10$Проспект Мира 82$150$Харьянова Е.В$заместитель директора Института химических технологий по воспитательной работе
патриотическое$"Акция ""Георгиевская ленточка "" "$май$Социальные сети$300$Харьянова Е.В $заместитель директора Института химических технологий по воспитательной работе
культурно-просветительское$День химика $2021-05-28$Марковского 57$150$Харьянова Е.В $заместитель директора Института химических технологий по воспитательной работе
-$"""Школа тьюторов"""$август$Марковского 57$40$Харьянова Е.В $заместитель директора Института химических технологий по воспитательной работе
научно-образовательное$"Квиз ""Химия в голове """$сентябрь$Марковского 57$100$Харьянова Е.В $заместитель директора Института химических технологий по воспитательной работе
-$Посвящение первокурсников Института химических технологий$ноябрь$Марковского 57$300$Харьянова Е.В $заместитель директора Института химических технологий по воспитательной работе 
культурно-просветительское$Новогодний кейсовый чемпионат $Декабрь$Zoom$100$Харьянова Е.В$заместитель директора Института химических технологий по воспитательной работе
-$"""Interviews """$в течение года$Социальные сети$500$Харьянова Е.В$заместитель директора Института химических технологий по воспитательной работе 
-$Тренинги на сплочённость$в течение года$Проспект Мира 82, Марковского 57 $500$Харьянова Е.В$заместитель директора Института химических технологий по воспитательной работе
научно-образовательное$День космонавтики $12 апреля$"пр. им. Газеты ""Красноярский рабочий, 31"$100$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе
-$Мистер и мисс ИКТ $апрель$"пр. им. Газеты ""Красноярский рабочий"$350$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе 
культурно-просветительское$Литературный вечер, посвященный Дню Победы (посвященный поэту) $май$"пр. им. Газеты ""Красноярский рабочий, 31"$50$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе
научно-образовательное$КосмоКвест$сентябрь$"пр. им. Газеты ""Красноярский рабочий, 34"$50$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе 
-$Вечер настольных игр $декабрь$"пр. им. Газеты ""Красноярский рабочий, 31"$30$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе
культурно-просветительское$Стендап и караоке вечер$декабрь$"пр. им. Газеты ""Красноярский рабочий, 31 "$50$Дружинина Н.В.$заместитель директора Института космической техники по воспитательной работе 
-$Открытие зачетной недели для первокурсников ИИТК$последняя неделя декабря$"пр. им. Газеты ""Красноярский рабочий"", 31"$250$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Церемония вручения дипломов $июль$Культурно-творческий центр$200$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
научно-образовательное$День математика $1 апреля $"пр. им. Газеты ""Красноярский рабочий"", 31"$80$Сафонов К.В.$зав. кафедрой прикладной математики
-$Адаптационная неделя для первокурсников $сентябрь$"пр. им. Газеты ""Красноярский рабочий"", 31"$250$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе 
культурно-просветительское$Мероприятие о стиле и красоте «Fashion day»$май$"Культурная станция ""Гагарин"""$50$Ковбаса Н.В. $зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Кубок КВН ИИТК$май$"Культурная станция ""Гагарин"""$100$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Поэтический вечер ИИТК$май$"Культурная станция ""Гагарин"""$50$Ковбаса Н.В. $зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Выставка рисунков «Art up» $июнь$Молодежный центр «Новые имена»$70$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Художественная школа ИИТК$май$"культурная станция ""Гагарин"""$30$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
-$Серия турниров «Мафия»$март, октябрь, ноябрь$Молодежный ИТ-центр$60$Ковбаса Н.В.$зам. директора Института информатики и телекоммуникаций по воспитательной работе
культурно-просветительское$Культурно- развлекательное мероприятие, посвященное Дню студента (Татьянин день)$январь$Аэрокосмический колледж$500$Епишина В.А. $педагог-организатор
культурно-просветительское$Торжественное открытие Городского турнира по волейболу памяти Н.Донского между ОУ СПО$февраль $Аэрокосмический колледж$1000$Боровикова Т.А.$руководитель физ. воспитания
здоровьесбере-гающее $День ГТО (работа различных интерактивных площадок соревновательного характера военно-спортивной направленности)$февраль$Аэрокосмический колледж 800 $800$Карцан В.Н.$преподаватель-организатор ОБЖ
культурно-просветительское$Торжественное мероприятие, посвященное Международному Женскому Дню 8 марта$март $Аэрокосмический колледж$450$Епишина В.А.$педагог-организатор
-$Мероприятия, посвященные Всемирному дню здоровья «В здоровом теле – здоровый дух!» ( встречи с участниками Олимпийских игр, Первенства Мира, Европы; проведение КВИЗа)$апрель$Аэрокосмический колледж $2500$Епишина В.А.$педагог-организатор
культурно-просветительское$Торжественное мероприятие, посвященное Дню Победы в Великой Отечественной войне 1941-45гг. Встреча с ветеранами колледжа$май $Аэрокосмический колледж $450$Епишина В.А.$педагог-организатор
-$Торжественная церемония вручения дипломов об окончании среднего профессионального образования$июнь-июль $Аэрокосмический колледж $700$Епишина В.А.$педагог-организатор
-$День знаний; Встреча студентов нового набора с директором АК$сентябрь $Аэрокосмический колледж$900$Гурьянов А.С. $заместитель директора по воспитательной работе
культурно-просветительское$Торжественное мероприятие, посвященное Дню Учителя$октябрь $Аэрокосмический колледж$450$Епишина В.А. $педагог-организатор
культурно-просветительское$День первокурсника Аэрокосмического колледжа$ноябрь $Аэрокосмический колледж 600 $600$Епишина В.А. $педагог-организатор
культурно-просветительское$Проведение праздничного мероприятия «Новогодняя перемена»$декабрь $Аэрокосмический колледж $600$Епишина В.А. $педагог-организатор
научно-образовательное$Конкурс на лучшую сборную модель летательного аппарата$2021-04-12$ул. Семафорная 123, корпус СЗ, ауд 202$20$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе
патриотическое$Акция памяти ветеранов «Ленд - Лиза»$2021-05-05$Мемориал летчикам, погибшим в годы ВОВ при перегоне самолетов по договору «Ленд - Лиза»$20$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе
патриотическое$Участие студентов в Краевом торжественном шествие посвященном Дню Победы$2021-05-09$Центральные улицы г. Красноярска$50$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе
патриотическое$Конкурс военной песни $2021-05-12$ул. Семафорная 123, корпус СЗ, актовый зал$100$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе
-$Общее собрание студентов 1 курса, назначение старост групп$2021-09-03$ул. Семафорная 123, корпус СЗ, актовый зал$70$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе 
культурно-просветительское$Международный день гражданской авиации$2021-12-07$ул. Семафорная 123, корпус СЗ, актовый зал$20$Ачкасова Е.А. $заместитель директора Института гражданской авиации и таможенного дела по воспитательной работе
-$Студенческий форум$сентябрь$пр. Красноярский рабочий,31$400$Гаврилов Е.М. $заместитель председателя студсовета Инженерно-экономического института
культурно-просветительское$Шоу талантов $октябрь$ул. 26 Бакинских комиссаров, 9А (СДК Аэрокосмический)$150$Саранцев С.О.$председатель студсовета Инженерно-экономического института
-$День матери $ноябрь$Пр. Красноярский рабочий,31$100$Ахметшин Т.Р.$член студенческого совета ИЭИ
культурно-просветительское$Новогодний концерт$декабрь$пр. Красноярский рабочий,31 (актовый зал корпуса А)$50$Саранцев С.О.$председатель студсовета Инженерно-экономического института 
культурно-просветительское$Мероприятия ко Дню российской печати$январь$пр. Мира, 82$70$Ускова С.В.$заместитель директора Института социального инжиниринга по учебной работе
культурно-просветительское$День Социального работника $июнь$пр. Мира, 82$50$Врублевская О.А.$доцент кафедры «Социальной работы и социологии»
гражданское$Работа «Правовой лаборатории» $в течение года$пр. Мира, 82$300$Сафронов В.В. $"заведующий кафедрой ""Правоведения"""
культурно-просветительское$Фестиваль-конкурс «День русского языка – Пушкинский день России»$май-июнь $пр. Мира, 82$600$Ускова С.В.$заместитель директора Института социального инжиниринга по учебной работе
культурно-просветительское$Мероприятия ко Всемирному дню русского единения $сентябрь$пр. Мира, 82$300$Ускова С.В. $заместитель директора Института социального инжиниринга по учебной работе
культурно-просветительское$Мероприятия ко Дню рекламиста $октябрь$пр. Мира, 82 $100$Ускова С.В. $заместитель директора Института социального инжиниринга по учебной работе
духовно-нравственное$«Кураторский час»$в течение года$пр. Мира, 82$130$Ускова С.В., Смолина Е.Ю. $заместитель директора по учебной работе и заместитель директора по воспитательной работе Института социального инжиниринга 
-$Коммуникативная площадка «Social speech Club’s» $апрель$пр. Мира, 82 $40$Врублевская О.А.; Чащина А.А. $"доцент кафедры ""Социальной работы и социологии""; доцент кафедры ""Социальной работы и социологии"""
научно-образовательное$Научно-практический семинар «Живи интересно!» $май-июнь$пр. Мира, 82 $30$Жарова А.В. $"доцент кафедры ""Социальной работы и социологии"""
здоровьесберегающее $Флеш-моб «Я так живу!» $июнь$пр. Мира, 82 $30$Жарова А.В.$"доцент кафедры ""Социальной работы и социологии"""
научно-образовательное$"Международная научно-практическая Конференция ""Актуальные вопросы организации волонтерской деятельности в рамках подготовки к международным мероприятия: лингвопереводческий, психолого-педагогический, организационно-управленческий и социальный аспекты "$ноябрь$пр. Мира, 82 $120$Груба Н.А.$"и.о. заведующего кадерой ""Лингвистики, теории и практики перевода"""
научно-образовательное$"Всероссийская студенческая научно-практическая конференция с международным участием ""Актуальные проблемы лингвистики, переводоведения, языковой коммуникации и лингводидактки "$май$пр. Мира, 82 $120$Груба Н.А.$"и.о. заведующего кадерой ""Лингвистики, теории и практики перевода"""
-$Открытая всероссийская акция «Tolles Diktat» участие в проведении городских площадок $февраль$пр. Мира, 82$60$Груба Н.А.$"и.о. заведующего кафедрой ""Лингвистики, теории и практики перевода"" "
-$Happy Easter!/Frohe Ostern» $май$пр. Мира, 82$60$Груба Н.А.$"и.о. заведующего кадерой ""Лингвистики, теории и практики перевода"" "
-$"Конкурс чтецов ""Много языков на свете разных"""$октябрь$пр. Мира, 82$20$Груба Н.А.$"и.о. заведующего кадерой ""Лингвистики, теории и практики перевода"" "
-$Коммуникативные площадки по формированию переводческого сообщества региона $декабрь$пр. Мира, 82 $40$Груба Н.А.$"и.о. заведующего кадерой ""Лингвистики, теории и практики перевода"""
-$Региональный конкурс видеороликов и презентаций «Экология глазами психологии» в форме коммуникативной площадки $ноябрь$пр. Мира, 82$70$Смирная А.А., Мирошниченко И.Н., Мухамедвалеева Е.А. $"заведующий кафедрой, старший преподаватель, доцент кафедры ""Психологии и педагогики"""
научно-образовательное$Всероссийская научно-практическая конференция с международным участием «Мир человека: интеграция психологии и педагогики в современном обществе» $28-29.04$пр. Мира, 82 $100$Cмирная А.А. $"зав. кафедрой ""Психологии и педагогики"""
